key,pt_PT,en,ja,ko
label_credits_narrative_screenwriter,"Sérgio Gabriel, Artur Bazavlyak","Sérgio Gabriel, Artur Bazavlyak","Sérgio Gabriel, Artur Bazavlyak","Sérgio Gabriel, Artur Bazavlyak"
subtitle_credits_narrative_dialogues,Diálogos,"Dialogues ","セリフ ",대화
label_credits_narrative_dialogues,"Sérgio Gabriel, Artur Bazavlyak","Sérgio Gabriel, Artur Bazavlyak","Sérgio Gabriel, Artur Bazavlyak","Sérgio Gabriel, Artur Bazavlyak"
title_credits_tests,Testes & Feedback,Testing & Feedback,テストとフィードバック,테스트 & 피드백
subtitle_credits_tests_testers,Testadores,Testers,"テスター ",테스터
label_credits_tests_testers,"João Maranhão, Gonçalo Fonte, Alaska, CCV","João Maranhão, Gonçalo Fonte, Alaska, CCV","João Maranhão, Gonçalo Fonte, Alaska, CCV","João Maranhão, Gonçalo Fonte, Alaska, CCV"
label_credits_license,"Jogo desenvolvido por GT Team, licenciado sob a licença Creative Commons Atribuição 4.0 Internacional (CC BY-NC 4.0).","Game developed by GT Team, licensed under the Creative Commons Attribution 4.0 International License (CC BY-NC 4.0).",このゲームは GT チームによって開発され、Creative Commons Attribution 4.0 International License (CC BY-NC 4.0) に基づいてライセンスされています。,"GT Team 개발한 게임, Creative Commons 저작자표시 4.0 국제 라이선스(CC BY-NC 4.0) 하에 라이센스됨."
title_warning_leaving,Pretende sair do jogo?,Do you want to exit the game?,ゲームを終了しますか？,게임을 종료하시겠습니까?
description_warning,"Todo o progresso não salvo será perdido. ",All unsaved progress will be lost.,保存されていない進行状況は失われます。,저장되지 않은 모든 진행 상황이 사라집니다.
label_warning_leaving_yes,Sim,Yes,はい,네
label_warning_leaving_no,Não,No,いいえ,아니요
monologue_intro_otherworld_1,A noite tem uma forma de engolir tudo.,The night has a way of swallowing everything.,夜はすべてを飲み込むようだ。,밤은 모든 것을 삼키는 방식이 있다.
monologue_intro_otherworld_2,"Na sua plenitude, até o vento move-se...","In its stillness, even the wind moves...",静寂の中では、風さえも...,"그 완전함 속에서, 바람조차 움직인다..."
monologue_intro_otherworld_3,lentamente.,slower.,ゆっくりと流れている。,천천히.
monologue_intro_otherworld_4,Tem algo...,"There’s something... ",何か...,그것은...
monologue_intro_otherworld_5,intemporal sobre ele.,timeless about it.,時間を超越したものがある。,시간을 초월하는 뭔가가 있다.
monologue_intro_otherworld_6,"Estrelas cintilam, distantes e indiferentes.","Stars flicker, distant and indifferent.",星がまたたく、遠くて無関心なように。,"별들은 멀리서 반짝이며, 무관심하게 빛난다."
monologue_intro_otherworld_7,O tipo de indiferença que te dá espaço para pensar.,The kind of indifference that gives you space to think.,その無関心さが、考える余地を与えてくれる。,그 무관심은 네가 생각할 공간을 준다.
monologue_intro_otherworld_8,Para respirar.,To breathe.,息をつくための空間を。,숨 쉴 공간을.
monologue_intro_otherworld_9,"É reconfortante, assim silencioso.","It’s comforting, that quiet.",その静けさは心地よい。,조용히 그렇게 위로가 된다.
monologue_intro_otherworld_10,"Aqui, nada espera qualquer coisa de mim.",Nothing expects anything from me here.,ここでは、何も私に期待していない。,여기서는 아무것도 나에게 기대하지 않는다.
monologue_intro_otherworld_11,Nem a noite,Not the night,夜も,"밤도,"
monologue_intro_otherworld_11 -1,"Nem a noite, nem as estrelas...","Not the night, not the stars...",夜も、星も...,별들도...
monologue_intro_otherworld_12,...,...,...,...
monologue_intro_otherworld_13,Mas algo parece errado...,But something feels off...,でも、何かがおかしい...,하지만 뭔가 잘못된 것 같아...
monologue_intro_otherworld_14,O ar muda.,The air changes.,空気が変わった。,공기가 변한다.
monologue_intro_otherworld_15,Está mais quente.,It’s hotter.,熱くなっている。,더워졌다.
monologue_intro_otherworld_16,Consigo ouvir os estalos...,"I can hear the cracking... ",パチパチという音が聞こえる...,소리가 들린다...
monologue_intro_otherworld_17,"Na distância... um brilho. Suave no início, depois mais nítido.","In the distance... a glow. Soft at first, then sharper.",遠くで...光が見える。最初は柔らかく、だんだん鋭くなっていく。,멀리서... 빛이 보인다. 처음엔 희미하다가 점점 더 뚜렷해진다.
monologue_intro_otherworld_18,"E mesmo assim, não deveria estar lá.","And yet, it shouldn’t be there.",それでも、そこにあるはずがないのに。,"그리고 그럼에도 불구하고, 그것은 거기에 있을 이유가 없다."
monologue_intro_otherworld_19,Aquela casa...,That house...,あの家...,그 집...
monologue_intro_otherworld_20,De quem é que é?,Whose is it again?,誰の家だっけ？,이건 누구의 집이지?
monologue_intro_room_1,Espera-,Wait-,待って——,잠깐...
monologue_intro_room_2,Eu-...,I-...,私...,나...
monologue_intro_room_3,...,...,...,...
monologue_intro_room_4,Onde é que estou?,Where am I?,ここはどこだ？,나는 어디에 있는 거지?
tutorial_intro_buttons_left,Botão Esquerdo,Left Mouse Button,マウスの左ボタン,왼쪽 버튼
tutorial_intro_buttons_right,Botão Direito,Right Mouse Button,マウスの右ボタン,오른쪽 버튼
tutorial_intro_buttons_info_left,Interagir com objetos,Interact with objects,オブジェクトを操作する,객체와 상호작용
tutorial_intro_buttons_info_right,Obter informação,Get information,情報を取得する,정보 얻기
tutorial_intro_confirm,Confirmar,Confirm,確認する,확인
title_inventory,Itens,Items,アイテム,아이템
title_inventory_items_collected,Itens Coletados,Items Collected,収集アイテム,수집한 아이템
title_warning_restarting_game,Deseja retornar ao menu?,Do you want to return to the menu?,メニューに戻りますか？,메뉴로 돌아가시겠습니까?
